time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.6255e-06	1572.16
1	1.6255e-06	4.01665e-06	1572.16
2	4.01665e-06	7.53408e-06	5047.35
3	7.53408e-06	1.27083e-05	2075.08
4	1.27083e-05	2.03197e-05	1807.14
5	2.03197e-05	3.15161e-05	1691.12
6	3.15161e-05	4.79864e-05	1522.96
7	4.79864e-05	7.22145e-05	1469.59
8	7.22145e-05	0.000107855	1621.7
9	0.000107855	0.000160282	1947.49
10	0.000160282	0.000237403	2322.21
11	0.000237403	0.000350851	2594.23
12	0.000350851	0.000517734	2556.81
13	0.000517734	0.000763223	2105.76
14	0.000763223	0.00112434	1520.92
15	0.00112434	0.00165556	1042.69
16	0.00165556	0.00243698	784.403
17	0.00243698	0.00358648	854.218
18	0.00358648	0.00527741	171.754
19	0.00527741	inf	171.754
