time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.75972e-06	2976.19
1	1.75972e-06	4.3483e-06	2976.19
2	4.3483e-06	8.15616e-06	4317.7
3	8.15616e-06	1.37576e-05	1884.05
4	1.37576e-05	2.19974e-05	1892.3
5	2.19974e-05	3.41184e-05	1711.77
6	3.41184e-05	5.19486e-05	1431.35
7	5.19486e-05	7.81772e-05	1515.37
8	7.81772e-05	0.00011676	1883.95
9	0.00011676	0.000173516	2352.43
10	0.000173516	0.000257005	2647.96
11	0.000257005	0.00037982	2533.52
12	0.00037982	0.000560483	2045.23
13	0.000560483	0.000826242	1468.92
14	0.000826242	0.00121718	1008.86
15	0.00121718	0.00179225	737.819
16	0.00179225	0.0026382	709.632
17	0.0026382	0.00388261	2096.97
18	0.00388261	0.00571316	17.3927
19	0.00571316	inf	17.3927
