time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.45353e-05	16606.3
1	1.45353e-05	3.32152e-05	16606.3
2	3.32152e-05	5.72214e-05	127.445
3	5.72214e-05	8.80726e-05	1643.16
4	8.80726e-05	0.000127721	2411.8
5	0.000127721	0.000178674	2387.36
6	0.000178674	0.000244155	1816.21
7	0.000244155	0.000328308	1210.97
8	0.000328308	0.000436455	925.827
9	0.000436455	0.000575439	876.946
10	0.000575439	0.000754052	936.545
11	0.000754052	0.000983595	985.325
12	0.000983595	0.00127859	885.554
13	0.00127859	0.00165769	633.03
14	0.00165769	0.0021449	406.889
15	0.0021449	0.00277102	297.868
16	0.00277102	0.00357567	323.017
17	0.00357567	0.00460975	1048.22
18	0.00460975	0.00593869	152.158
19	0.00593869	inf	152.158
