time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.31103e-06	4290.2
1	1.31103e-06	3.23958e-06	4290.2
2	3.23958e-06	6.07652e-06	5309.57
3	6.07652e-06	1.02497e-05	3473.5
4	1.02497e-05	1.63886e-05	3613.08
5	1.63886e-05	2.54189e-05	3349.76
6	2.54189e-05	3.87028e-05	3494.39
7	3.87028e-05	5.82437e-05	3883.19
8	5.82437e-05	8.69887e-05	4291.21
9	8.69887e-05	0.000129273	4399.19
10	0.000129273	0.000191475	4037.6
11	0.000191475	0.000282974	3321.38
12	0.000282974	0.000417572	2475.25
13	0.000417572	0.000615568	1693.34
14	0.000615568	0.000906824	1127.42
15	0.000906824	0.00133527	827.413
16	0.00133527	0.00196552	765.501
17	0.00196552	0.00289263	1591.47
18	0.00289263	0.00425643	55.1397
19	0.00425643	inf	55.1397
