time_index	left_time_boundary	right_time_boundary	lambda
0	0	8.05626e-07	411.903
1	8.05626e-07	1.99072e-06	411.903
2	1.99072e-06	3.73402e-06	4.21874
3	3.73402e-06	6.29844e-06	21737.6
4	6.29844e-06	1.00708e-05	15007.1
5	1.00708e-05	1.56199e-05	9778.01
6	1.56199e-05	2.37829e-05	8390.52
7	2.37829e-05	3.57907e-05	7935.59
8	3.57907e-05	5.34545e-05	6915.65
9	5.34545e-05	7.94383e-05	5775.11
10	7.94383e-05	0.000117661	5018.78
11	0.000117661	0.000173887	4326.2
12	0.000173887	0.000256598	3304.85
13	0.000256598	0.000378266	2171.12
14	0.000378266	0.000557243	1321.17
15	0.000557243	0.000820521	869.687
16	0.000820521	0.00120781	739.772
17	0.00120781	0.00177752	2872.22
18	0.00177752	0.00261557	53.9892
19	0.00261557	inf	53.9892
