time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.03287e-06	17519.3
1	1.03287e-06	2.55225e-06	17519.3
2	2.55225e-06	4.78728e-06	27547.7
3	4.78728e-06	8.07506e-06	14474.4
4	8.07506e-06	1.29115e-05	9862.91
5	1.29115e-05	2.00259e-05	6782.83
6	2.00259e-05	3.04914e-05	5220.83
7	3.04914e-05	4.58863e-05	4341.9
8	4.58863e-05	6.85326e-05	3684.93
9	6.85326e-05	0.000101846	3182.38
10	0.000101846	0.00015085	2876.53
11	0.00015085	0.000222936	2717.32
12	0.000222936	0.000328977	2543.09
13	0.000328977	0.000484965	2239.69
14	0.000484965	0.000714426	1811.22
15	0.000714426	0.00105197	1364.22
16	0.00105197	0.0015485	980.543
17	0.0015485	0.00227891	653.674
18	0.00227891	0.00335335	251.128
19	0.00335335	inf	251.128
