time_index	left_time_boundary	right_time_boundary	lambda
0	0	8.05626e-07	411.369
1	8.05626e-07	1.99072e-06	411.369
2	1.99072e-06	3.73402e-06	4.23031
3	3.73402e-06	6.29844e-06	21736.3
4	6.29844e-06	1.00708e-05	15006.9
5	1.00708e-05	1.56199e-05	9778.03
6	1.56199e-05	2.37829e-05	8389.85
7	2.37829e-05	3.57907e-05	7935.79
8	3.57907e-05	5.34545e-05	6915.63
9	5.34545e-05	7.94383e-05	5775.13
10	7.94383e-05	0.000117661	5018.88
11	0.000117661	0.000173887	4326.3
12	0.000173887	0.000256598	3304.92
13	0.000256598	0.000378266	2171.07
14	0.000378266	0.000557243	1321.07
15	0.000557243	0.000820521	869.57
16	0.000820521	0.00120781	739.667
17	0.00120781	0.00177752	2872.58
18	0.00177752	0.00261557	53.9804
19	0.00261557	inf	53.9804
