time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.80529e-05	1643.13
1	2.80529e-05	6.41046e-05	1643.13
2	6.41046e-05	0.000110436	604.412
3	0.000110436	0.000169978	881.697
4	0.000169978	0.000246498	965.825
5	0.000246498	0.000344836	1114.14
6	0.000344836	0.000471213	1300.84
7	0.000471213	0.000633626	1385.27
8	0.000633626	0.000842348	1280.71
9	0.000842348	0.00111058	1068.91
10	0.00111058	0.0014553	850.235
11	0.0014553	0.00189831	650.508
12	0.00189831	0.00246764	477.397
13	0.00246764	0.00319931	356.884
14	0.00319931	0.0041396	295.088
15	0.0041396	0.005348	285.261
16	0.005348	0.00690095	321.598
17	0.00690095	0.00889671	382.375
18	0.00889671	0.0114615	235.975
19	0.0114615	inf	235.975
