time_index	left_time_boundary	right_time_boundary	lambda
0	0	8.27366e-07	14270.8
1	8.27366e-07	2.04444e-06	14270.8
2	2.04444e-06	3.83478e-06	37724.1
3	3.83478e-06	6.46841e-06	17148.5
4	6.46841e-06	1.03425e-05	14236.6
5	1.03425e-05	1.60414e-05	12535.1
6	1.60414e-05	2.44247e-05	9969.38
7	2.44247e-05	3.67565e-05	7843.6
8	3.67565e-05	5.4897e-05	6333.09
9	5.4897e-05	8.1582e-05	5206.43
10	8.1582e-05	0.000120836	4314.39
11	0.000120836	0.00017858	3549.5
12	0.00017858	0.000263522	2818.83
13	0.000263522	0.000388474	2130.26
14	0.000388474	0.00057228	1580.84
15	0.00057228	0.000842663	1237.85
16	0.000842663	0.0012404	1118.94
17	0.0012404	0.00182548	1632.2
18	0.00182548	0.00268615	91.1269
19	0.00268615	inf	91.1269
