time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.54751e-06	9581.62
1	4.54751e-06	1.03917e-05	9581.62
2	1.03917e-05	1.79022e-05	20774.7
3	1.79022e-05	2.75543e-05	10241.2
4	2.75543e-05	3.99585e-05	8097.73
5	3.99585e-05	5.58996e-05	7533.78
6	5.58996e-05	7.63861e-05	7504.09
7	7.63861e-05	0.000102714	7731.36
8	0.000102714	0.000136549	7871.99
9	0.000136549	0.000180031	7346.25
10	0.000180031	0.000235912	5943.68
11	0.000235912	0.000307726	3881.63
12	0.000307726	0.000400018	1802.65
13	0.000400018	0.000518624	631.131
14	0.000518624	0.00067105	234.899
15	0.00067105	0.000866937	134.71
16	0.000866937	0.00111868	156.661
17	0.00111868	0.0014422	10176.8
18	0.0014422	0.00185797	6.27014
19	0.00185797	inf	6.27014
